track_name,track_id,album_name,album_id,artist_name,artist_id,artist_popularity,track_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,energy_danceability,acoustic_instrumental_diff,mood_index
You Go out and Dig,2uH4TfPo4JZqZtGVkvKNRQ,You Go out and Dig,0yNQr3IwcBwp73I4CRcUJT,Ezra Bell,1nGqKVGfPPiVgxMdx8hYOI,43.0,10.0,2016-04-14,0.364,0.482,4.0,-9.428,1.0,0.0265,0.689,0.0084,0.11,0.537,161.73,211302.0,0.175448,0.6806,0.5095000000000001
Freshies,3V9s2i36NEiRAREK2ZFSVa,12,2OGfjnynIKfev7QALjyYJN,Keller Williams,5de5W8sgXIMq9dgMR0Wml0,40.0,32.0,2007-12-18,0.898,0.415,4.0,-9.455,0.0,0.133,0.248,0.00228,0.108,0.909,144.111,163053.0,0.37267,0.24572,0.662
Be One,1UMKRcqs7kFf6wDVo0HaSI,Be One (Deluxe Version),1BA61ZwyerWAKW9hsPMAlt,Natalie Grant,6KVnMm856M8CHHBCw53Ihh,50.0,27.0,2015-11-13,0.504,0.783,5.0,-3.56,0.0,0.0663,0.00173,0.0,0.0654,0.319,173.956,191016.0,0.39463200000000004,0.00173,0.551
Hallelujah,5PBW95QqIuwhVqaKghBYPx,A Pentatonix Christmas Deluxe,3sId8sOH47yqOWopzbEtJn,Pentatonix,26AHtbjWKiwYzsoGoUZq53,65.0,34.0,2017-12-06,0.157,0.32,7.0,-8.59,0.0,0.0342,0.153,3.97e-05,0.148,0.359,66.1,270893.0,0.05024,0.1529603,0.3395
"Sara Zamana - From ""Yaarana""",13Ry6xjQfXFN0WjwNd9bua,Genius Of Kishore Kumar – Fun Songs,5r1U7NrIHEDC5LE2GnnpNS,Kishore Kumar,0GF4shudTAFv8ak9eWdd4Y,75.0,37.0,2013-01-01,0.417,0.884,8.0,-6.92,1.0,0.0947,0.839,0.00238,0.153,0.525,138.548,266480.0,0.368628,0.8366199999999999,0.7045
Praise Him,5fSZ6doCiShqfCtmwk6tDu,Proclaim His Power,2qZtn9uhHhcFTZn7MV17G4,Bob Fitts,6a7zEkNQ1cDio5dO3c3qpP,40.0,17.0,2009-09-11,0.163,0.0718,0.0,-24.147,1.0,0.0348,0.611,0.0,0.106,0.188,83.048,344667.0,0.011703400000000001,0.611,0.12990000000000002
Someday I'll Be a Farmer - Live,6Ksi7jeZRilJgA10ZVWWNf,Live At Meltdown 2007,3hcwHrP1dLy3lMHAsXl0ZA,Melanie,6sOP8RUFR0q0nBOBOXGdBK,47.0,0.0,,0.42,0.39,9.0,-11.36,1.0,0.0373,0.719,0.0,0.568,0.286,89.812,148160.0,0.1638,0.719,0.33799999999999997
Earache My Eye,3jR6GeWWi1fWpL6zuboMYg,Live & Rare,1OzMlpOy3QYFYrnM9YShH9,Korn,3RNrq3jvMZxD9ZyoOZbQOD,78.0,28.0,2006-04-28,0.357,0.781,4.0,-5.759,0.0,0.0503,3.99e-05,0.37,0.63,0.351,86.422,289000.0,0.278817,-0.3699601,0.5660000000000001
Turn It Out - Live,1VP6PUmrtZ7f2aMjx15U4A,Soulive (International),3GojwwnyEOo1UjnmGIkyd7,Soulive,6mWEaOFdcN3s30GuFWruGO,34.0,1.0,2003-01-01,0.424,0.62,10.0,-9.49,0.0,0.0589,0.00052,0.869,0.929,0.52,104.866,769600.0,0.26288,-0.86848,0.5700000000000001
Cry Baby,58rQvBVpPesMtsz5okJtUF,Dinner in the Dark,64B3HoRh5u40Q2ny8sSrIp,Shapes Have Fangs,2iyX3YLWZ0WDg4XMyIoihf,3.0,1.0,2011-03-08,0.598,0.934,2.0,-1.481,1.0,0.0317,0.155,1.31e-06,0.0611,0.866,92.809,107800.0,0.558532,0.15499869,0.9
Mad Jack,7jQclwT19uilDs3zK265Rh,Strange Times,0OyyvqyS0iVQZXNhcwd3F6,The Chameleons,4HLWX9kzfraiCsTvrxJEXm,42.0,23.0,1986-01-01,0.314,0.867,1.0,-6.817,1.0,0.0402,0.0672,8.78e-05,0.31,0.689,151.01,236907.0,0.272238,0.0671122,0.778
Loveboat,1s4Kf4sbkoZ1HC5G4Tx4Gv,Light Years,7vPWwkCumK2sGsdADtBlwB,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,73.0,12.0,2000-09-25,0.565,0.913,7.0,-3.73,0.0,0.0663,0.131,5.02e-05,0.367,0.553,110.977,250773.0,0.515845,0.1309498,0.7330000000000001
Demand It,2AuugcWwwlDCjUU5JcbDcD,Wildly Idle (Humble Before the Void),6U8MP9A9MF2fTdFRf0RTr1,Hand Habits,5poU7FPEYoBlwjzOEWMbX5,35.0,8.0,2017-02-10,0.45,0.38,1.0,-10.15,1.0,0.027,0.112,0.000149,0.125,0.202,97.93,301149.0,0.171,0.111851,0.29100000000000004
Holy Water,0MCOfyRpgu3Lx3MMTodnAe,ELDORADO,1SXqTsVnjtIULG5YKXafeY,Ro James,7r2oyrNc0YjSC7hZL87V0Y,44.0,25.0,2017-03-29,0.623,0.534,1.0,-6.305,1.0,0.038,0.0446,0.000168,0.0817,0.154,95.124,205693.0,0.33268200000000003,0.044432,0.34400000000000003
O Namorico Da Rita,4vUpRDBo9GLyUs4PjrzuZH,"Las Voces Del Siglo XX Vol. 5 - ""40 Fados Imprescindibles""",0EoRLS19TrOi8FLjYUVBbq,Amália Rodrigues,0DBF33ctUe4yhxKP3eTcCt,43.0,0.0,2005-01-01,0.606,0.425,5.0,-5.642,0.0,0.0521,0.776,0.0,0.229,0.638,76.441,134640.0,0.25755,0.776,0.5315
Sing a New Song,7GrkZyFb9xsV2mbUpgerK6,"Here I Am, Lord (30th Anniversary Edition)",7in6czr7xevNXhVAhvEshl,Dan Schutte,4pvqDzf2WIFgxJWg79ViB6,35.0,31.0,2001-01-01,0.296,0.377,7.0,-8.408,1.0,0.0299,0.57,0.0,0.172,0.548,167.904,142493.0,0.111592,0.57,0.4625
Born to Save,3LNtJ2thMO5k9u5P3nG8lw,Born to Save,54W859YL9diNhm0l5DfA7q,Canyon Hills Worship,3VMNXGDuX4KdTQBEXF6XlK,33.0,0.0,2013-10-25,0.642,0.618,1.0,-6.869,0.0,0.0298,0.00125,6.63e-05,0.148,0.632,125.008,259120.0,0.396756,0.0011837,0.625
U Already Know - Slowed & Chopped,6vZCMlWasDsKQ91ixJjOc9,Hawk (Slowed & Chopped),0dL8lR8tivjcok1fGMT6uC,Hawk,1tZaEgFG4CCKVELE92EtRH,33.0,16.0,2003-04-01,0.784,0.62,1.0,-8.842,1.0,0.185,0.0312,0.0,0.226,0.513,142.15,351013.0,0.48608,0.0312,0.5665
Nawan Le Liya Truck Tere Yaar Ne,1RoWp2ZuJzrh2BCzBUlupL,The Best of Surinder Shinda,0AVRaMhrXg9RvTqcfNpyeg,Surinder Shinda,4jx6nx9GUfF1x31hBf5hfY,36.0,13.0,2010-01-01,0.431,0.905,5.0,-4.317,1.0,0.151,0.428,9.25e-05,0.383,0.965,170.605,188093.0,0.390055,0.4279075,0.935
For Sascha - Acoustic Version,1JvchS0rxv5PEiGbrFa0Br,Tales From The Acoustic Planet,3t6F5vo2qJQzuFmIjAQURq,Béla Fleck and the Flecktones,5Zmur9D9gpr6tXyDrpnbOe,36.0,18.0,1995-04-07,0.522,0.0934,3.0,-23.368,1.0,0.0509,0.99,0.748,0.347,0.307,128.389,154093.0,0.0487548,0.242,0.2002
Strange Land,75HqPtEvZEYWs0UuXwt101,Stand Back!,76xRltIuAfERRJwWp1Fbbe,Charlie Musselwhite,4NikxGoDm5LGVYAHj0Euoc,39.0,9.0,2006-01-01,0.519,0.451,2.0,-11.169,1.0,0.0294,0.849,0.0,0.162,0.512,106.271,181000.0,0.23406900000000003,0.849,0.48150000000000004
Highway,7MyrEl5fQhAQ6yXkhW4UU9,Gimme Shelter [Original Soundtrack Album],3VpzLJy4rcGnQRMuBDrJyn,Ólafur Arnalds,7E3BRXV9ZbCt5lQTCXMTia,64.0,0.0,2014-03-11,0.224,0.034,4.0,-25.946,0.0,0.0427,0.994,0.965,0.0533,0.0291,109.585,169840.0,0.007616,0.029000000000000026,0.03155
Deep Thoughts,2oGFS9T4nQWmzYXh3NzCiW,The Bobots 2.5,5QeEsqeFRfNsrTwkaVOoQI,The Jacka,1Z3HvW1V35gdsbhY20SMoU,47.0,3.0,2013-08-27,0.476,0.855,5.0,-7.275,1.0,0.64,0.469,0.0,0.416,0.344,117.132,179010.0,0.40697999999999995,0.469,0.5994999999999999
